x,y
84.0,3.626177528040966E7
89.56962025316456,2.0969855457721002E7
95.13924050632912,1.805766113306109E7
100.70886075949367,1.6203173923541894E7
106.27848101265823,1.1812209869661396E7
111.84810126582279,9625037.905411199
117.41772151898735,7285224.773179385
122.98734177215191,4897299.498728463
128.55696202531647,3453208.165686092
134.126582278481,2250751.868467365
139.69620253164555,2059090.9507746117
145.2658227848101,2586147.6578160813
150.83544303797464,3056248.36497758
156.4050632911392,4122305.711395309
161.97468354430373,4856449.240715905
167.54430379746827,5197532.044977852
173.11392405063282,5281722.300330822
178.68354430379736,4543807.000724478
184.2531645569619,3581828.4428707995
189.82278481012645,2387678.921365703
195.392405063291,1143378.9147049764
200.96202531645554,-49419.7853576829
206.53164556962008,-1284491.8785767069
212.10126582278463,-2131293.322242482
217.67088607594917,-2680045.211039585
223.2405063291137,-2875572.325967173
228.81012658227826,-2697961.4601273104
234.3797468354428,-2649994.882997077
239.94936708860735,-3105146.5265253293
245.5189873417719,-4064088.9369763914
251.08860759493643,-5572220.476945607
256.658227848101,-7394586.5573591
262.2278481012655,-8616980.110609565
267.79746835443007,-9010274.942901656
273.3670886075946,-8606079.678789297
278.93670886075915,-7452026.84932124
284.5063291139237,-6559189.91373293
290.07594936708824,-6416167.158558524
295.6455696202528,-6939533.048332221
301.21518987341733,-8150460.665944809
306.7848101265819,-9255725.519391539
312.3544303797464,-9522656.114565557
317.92405063291096,-9090392.579643844
323.4936708860755,-7997759.9404904535
329.06329113924005,-6524645.188941632
334.6329113924046,-5464612.839541706
340.20253164556914,-4797852.586908625
345.7721518987337,-4167692.586116468
351.3417721518982,-3648708.176826782
356.91139240506277,-2643307.34217449
362.4810126582273,-770361.5983886459
368.05063291139186,1631677.229653955
373.6202531645564,4567692.094824264
379.18987341772095,7732170.955553131
384.7594936708855,1.0361933131000796E7
390.32911392405003,1.2059194401020933E7
395.8987341772146,1.2615921918071266E7
401.4683544303791,1.1640957021444773E7
407.03797468354367,9681061.808407085
412.6075949367082,7259648.789106347
418.17721518987275,4797107.999600738
423.7468354430373,3011236.079457934
429.31645569620184,1658912.803129065
434.8860759493664,1023061.6371710092
440.45569620253093,895290.8160213676
446.0253164556955,1175109.2023927881
451.59493670886,2558980.226826134
457.16455696202456,4556175.103437046
462.7341772151891,7300142.209226363
468.30379746835365,1.0479964443918744E7
473.8734177215182,1.3160251751875652E7
479.44303797468274,1.5534182746811995E7
485.0126582278473,1.7329746152602572E7
490.5822784810118,1.883822640153896E7
496.15189873417637,2.0335540785792433E7
501.7215189873409,2.1622842907174584E7
507.29113924050546,2.2933697907724444E7
512.86075949367,2.352948805780183E7
518.4303797468345,2.3927862362473197E7
523.9999999999991,2.4181050117097326E7
